iteration,best,av_regret,it_bad
0,-89.0,34.03000000000001,0
1,-83.0,31.230000000000008,0
2,-80.8,29.390000000000008,0
3,-81.4,24.49,0
4,-81.8,32.39,0
5,-90.0,49.91,1
6,-80.2,32.38000000000001,0
7,-81.6,26.53000000000001,0
8,-90.8,35.31000000000001,0
9,-86.4,22.390000000000004,0
