iteration,best,av_regret,it_bad
0,-85.8,33.2,0
1,-86.2,27.82000000000001,0
2,-88.6,30.47000000000001,0
3,-83.8,37.77000000000001,1
4,-83.2,32.24000000000001,0
5,-88.8,38.13000000000001,0
6,-82.6,32.559999999999995,1
7,-78.6,27.439999999999998,0
8,-81.8,35.63000000000001,0
9,-81.4,21.130000000000003,0
