trial_index,rep_0,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,mean,reward_max,reward_min
0,-500.0,-100.6,-500.0,-107.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-420.76000000000005,-100.6,-500.0
1,-500.0,-500.0,-94.8,-500.0,-95.4,-123.0,-97.0,-123.4,-147.6,-500.0,-268.12,-94.8,-500.0
2,-500.0,-111.4,-500.0,-131.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-424.23999999999995,-111.4,-500.0
3,-120.6,-500.0,-500.0,-500.0,-159.8,-108.4,-132.0,-102.8,-113.4,-117.0,-235.4,-102.8,-500.0
4,-500.0,-257.6,-500.0,-119.4,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-437.7,-119.4,-500.0
5,-91.0,-500.0,-282.0,-500.0,-139.2,-500.0,-111.2,-96.4,-115.8,-87.0,-242.26000000000005,-87.0,-500.0
6,-500.0,-94.8,-500.0,-152.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-424.68,-94.8,-500.0
7,-110.2,-500.0,-101.8,-500.0,-169.2,-85.0,-500.0,-113.6,-93.8,-102.4,-227.60000000000005,-85.0,-500.0
8,-500.0,-112.2,-500.0,-130.4,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0,-424.26000000000005,-112.2,-500.0
9,-95.8,-500.0,-105.6,-500.0,-128.2,-115.4,-124.6,-121.6,-121.8,-108.8,-192.18,-95.8,-500.0
10,-94.6,-101.4,-120.0,-123.0,-90.4,-115.6,-134.0,-97.0,-120.2,-88.4,-108.46000000000001,-88.4,-134.0
11,-88.2,-104.8,-91.4,-109.8,-114.2,-99.6,-137.8,-107.0,-132.4,-143.0,-112.81999999999998,-88.2,-143.0
12,-95.6,-86.2,-138.0,-97.2,-121.6,-109.6,-104.6,-101.2,-86.6,-101.2,-104.17999999999999,-86.2,-138.0
13,-132.6,-116.6,-105.0,-105.0,-110.0,-97.2,-100.6,-99.2,-99.6,-90.6,-105.64000000000001,-90.6,-132.6
14,-109.4,-178.4,-91.4,-129.8,-104.0,-189.0,-97.8,-93.8,-162.2,-95.8,-125.16,-91.4,-189.0
15,-122.2,-95.2,-118.8,-100.2,-105.0,-125.0,-132.6,-112.8,-90.8,-98.8,-110.13999999999999,-90.8,-132.6
16,-94.2,-94.2,-92.0,-116.4,-136.0,-117.6,-117.6,-103.4,-94.0,-92.0,-105.74000000000001,-92.0,-136.0
17,-115.0,-102.6,-123.0,-128.2,-119.4,-118.2,-101.8,-98.4,-156.8,-99.4,-116.28,-98.4,-156.8
18,-102.8,-89.2,-120.6,-113.8,-83.2,-116.8,-95.2,-112.0,-150.2,-110.2,-109.4,-83.2,-150.2
19,-139.6,-111.6,-99.8,-116.2,-177.0,-125.0,-93.0,-91.2,-129.8,-132.8,-121.6,-91.2,-177.0
20,-104.6,-86.6,-99.6,-133.6,-90.2,-111.4,-82.6,-78.6,-81.8,-98.2,-96.72,-78.6,-133.6
21,-110.4,-146.0,-88.6,-140.6,-90.6,-120.2,-209.6,-92.6,-109.0,-82.4,-119.0,-82.4,-209.6
22,-119.2,-100.0,-114.4,-97.8,-166.6,-101.0,-95.8,-104.8,-100.4,-108.4,-110.84,-95.8,-166.6
23,-119.4,-101.4,-107.8,-109.4,-119.2,-97.0,-120.6,-116.0,-105.2,-116.0,-111.2,-97.0,-120.6
24,-105.0,-118.4,-114.0,-87.0,-98.2,-140.8,-96.4,-121.0,-104.0,-83.4,-106.82000000000001,-83.4,-140.8
25,-85.8,-104.4,-134.8,-104.0,-107.8,-95.8,-104.4,-122.4,-128.0,-93.6,-108.1,-85.8,-134.8
26,-154.6,-101.0,-104.2,-83.8,-105.6,-95.8,-88.0,-100.6,-159.2,-105.4,-109.82000000000001,-83.8,-159.2
27,-114.0,-90.6,-102.4,-125.0,-95.6,-151.0,-108.8,-99.4,-83.0,-98.0,-106.78,-83.0,-151.0
28,-147.8,-100.0,-125.0,-239.8,-87.2,-139.2,-126.0,-183.0,-94.8,-95.6,-133.83999999999997,-87.2,-239.8
29,-101.0,-119.8,-110.6,-86.8,-115.0,-88.8,-96.0,-104.4,-116.6,-81.4,-102.04,-81.4,-119.8
